File Design Information:

Date:       27.02.23
Time:       11:41
Revision:   88a4c57fb80b38f7e82e9b2d41894c1b26e1fcaa
Variant:    No variations
Units used: mm

"Designator,""Comment"",""Layer"",""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Rotation"",""Description"""
"8pins1_C20,""100nF"",""BottomLayer"",""0402_CAP"",""9.3396"",""22.5794"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins1_C19,""100nF"",""TopLayer"",""0402_CAP"",""12.4000"",""14.5949"",""270"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins1_C18,""100nF"",""TopLayer"",""0402_CAP"",""18.5000"",""15.0949"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins10_C20,""100nF"",""BottomLayer"",""0402_CAP"",""199.5049"",""22.5596"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins10_C19,""100nF"",""TopLayer"",""0402_CAP"",""202.0804"",""14.5740"",""270"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins10_C18,""100nF"",""TopLayer"",""0402_CAP"",""208.6297"",""14.9396"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins9_C20,""100nF"",""BottomLayer"",""0402_CAP"",""178.3759"",""22.5596"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins9_C19,""100nF"",""TopLayer"",""0402_CAP"",""180.9603"",""14.5650"",""270"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins9_C18,""100nF"",""TopLayer"",""0402_CAP"",""187.4984"",""14.9419"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins8_C20,""100nF"",""BottomLayer"",""0402_CAP"",""157.2470"",""22.5596"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
