Designator,PartNumber,Name,Package,Description,Supplier 1,Link,Quantity,Supplier Currency 1,Supplier Subtotal per Board 1,Supplier Stock 1,Supplier Unit Price 1,Manufacturer 1,Manufacturer Part Number 1

"R46, R47, R48, R49, R50, R52","ERJ-3GEY0R00V","0R","0603","Resistor 0603 0R","Mouser","https://cz.mouser.com/ProductDetail/Panasonic/ERJ-3GEY0R00V?qs=66DK8nO8gJALIOqOWgiVwg%3D%3D","6","EUR","0.15821","11148317","0.02637","Panasonic","ERJ-3GEY0R00V"
"R6_U_Opto_inputs1, R6_U_Opto_inputs2, R6_U_Opto_inputs3, R6_U_Opto_inputs4, R6_U_Opto_inputs5, R6_U_Opto_inputs6, R6_U_Opto_inputs7, R6_U_Opto_inputs8, R9, R11_U_Opto_inputs1, R11_U_Opto_inputs2, R11_U_Opto_inputs3, R11_U_Opto_inputs4, R11_U_Opto_inputs5, R11_U_Opto_inputs6, R11_U_Opto_inputs7, R11_U_Opto_inputs8, R13, R34, R41, R44","RT0603FRE071KL","1k","0603","Resistor 0603 1KR 100mW 1%","Mouser","https://cz.mouser.com/ProductDetail/YAGEO/RT0603FRE071KL?qs=8cPjvKtxWv68ZVEzoi6JxQ%3D%3D","21","EUR","1.17","203959","0.05556","Yageo","RT0603FRE071KL"
"R7, R8, R29","ERJ2RKF6800X","1k5","0402","Resistor - 0402 - 1k5 - 1% - 100mW","Mouser","https://cz.mouser.com/ProductDetail/Panasonic/ERJ-2RKF1501X?qs=sGAEpiMZZMtG0KNrPCHnjTg0x5DoQJ5PTwSSYoQ29R0%3D","3","EUR","0.08193","791800","0.02731","Panasonic","ERJ-2RKF6800X"
"VR1, VR3","TC33X-2-102E","1k Trimmer","3mm SMD TRIMPOT","Variable Resistor Trimmer - 1k - 25% -100mW - single turn","Mouser","https://cz.mouser.com/ProductDetail/Bourns/TC33X-2-102E?qs=2hAPiALdQ0nRULMRC6GCtg%3D%3D","2","EUR","0.48971","57220","0.24486","Bourns","TC33X-2-102E"
"C24, C26, C28","C1608X7R1E105K080AB","1uF","0603","General Purpose Ceramic Capacitor, 0603,1uF,25V,10%","Mouser","https://cz.mouser.com/ProductDetail/TDK/C1608X7R1E105K080AB?qs=NRhsANhppD8okfR52aTdVA%3D%3D","3","EUR","0.5368","416221","0.17893","TDK","C1608X7R1E105K080AB"
"R25, R27, R28, R31","ERJ-PA2F2201X","2k2","0402","Resistor - 0402 - 2k2 - 1% - 200mW","Mouser","https://cz.mouser.com/ProductDetail/Panasonic/ERJ-PA2F2201X?qs=sGAEpiMZZMtG0KNrPCHnjZ6x%2FURjllozzwNvbZVeFeMwGqzVywslMw%3D%3D","4","","","","","Panasonic","ERJ-PA2F2201X"
"P3, P4, P5, P6, P7, P10, P12, P13","5-146280-2","2x1 2.54mm","2x1 2.54mm","Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 8.21 mm, Tail Length 3.05 mm, -65 to 105 degC, RoHS, Bulk","Mouser","https://cz.mouser.com/ProductDetail/TE-Connectivity/5-146280-2?qs=bwpFY26eRVcxHP%252BQexhLNQ%3D%3D","8","EUR","4.14","47952","0.51796","TE Connectivity","5-146280-2"
"J2, J16","FTSH-105-04-F-D","2x5 1.27mm connector","2x5positions -  1.27mm x1.27mm","Connector - 2x5positions -  1.27mm x1.27mm","Mouser","https://cz.mouser.com/ProductDetail/Samtec/FTSH-105-04-F-D?qs=0lQeLiL1qyZx0H067ICkhw%3D%3D","2","EUR","4.63","364","2.32","Samtec","FTSH-105-04-F-DV"
"J15_U_PORT_SINGLE1, J15_U_PORT_SINGLE2, J15_U_PORT_SINGLE3","G821EU210AAL10Y","2x5 2.54mm connector","2x5position -  2.54x2.54mm connector","2x5position -  2.54x2.54mm connector","Mouser","https://cz.mouser.com/ProductDetail/Amphenol-Commercial-Products/G821EU210AAL10Y?qs=f9yNj16SXrKgfgt6Mg6Piw%3D%3D","3","EUR","1.89","4099","0.63097","Amphenol ICC / FCI","G821EU210AAL10Y"
