1793_1796

jehla  H  V  první pin       vst. SIG     UZEL
----- ------ ------------    --------     -------------------
P34   >> ^^  (21.5, 13.0)    IN:  871     1:SIGN576 —>§34
P148  >  -   (21.0, 69.0)    IN:  849     1:L3 —>§148
P110  >  -   (21.0, 68.0)    IN:  848     1:SIGN669 —>§110
P47   >> vv  (21.5, 68.0)    IN:  926     1:SIGN591 —>§47
P147  >> ^^  (20.0,  3.0)    IN:  627     1:L1 —>§147
P160  >  -   (20.5,  2.0)    IN:  704     1:SIGN697 —>§160
P102  << ^^  (21.5, 64.0)    IN:  922     1:SIGN660 —>§102
P104  -  v   (21.0, 58.0)    IN:  838     1:SIGN662 —>§104
P5    -  -   (****, ****)    IN:   **     1:ZOSC
P6    -  ^^  (****, ****)    IN:   **     1:ZOSC
P103  -  vv  (20.0, 78.0)    IN:  702     1:SIGN661 —>§103
P100  -  ^^  (21.5, 63.0)    IN:  921     1:SIGN658 —>§100
P101  -  -   (21.0, 64.0)    IN:  844     1:SIGN659 —>§101
P157  >> -   (21.0, 34.0)    IN:  814     1:SIGN671 —>§157
P158  >  -   (21.0, 18.0)    IN:  798     1:SIGN672 —>§158
P113  >  ^   (21.0, 25.0)    IN:  805     1:SIGN675 —>§113
P164  >  v   (21.5, 15.0)    IN:  873     1:SIGN549 —>§164
P165  >  -   (21.0, 15.0)    IN:  795     1:SIGN560 —>§165
P28   -  ^^  (21.0, 12.0)    IN:  792     1:SIGN565 —>§28
P21   -  vv  (21.0,  8.0)    IN:  788     1:SIGN551 —>§21
P150  >> v   (20.0,  2.0)    IN:  626     1:SIGN573 —>§150
P161  >> -   (20.5,  2.0)    IN:  704     1:SIGN697 —>§160
P37   << ^^  (21.5, 77.0)    IN:  935     1:SIGN579 —>§37
P18   >> -   (21.5, 75.0)    IN:  933     1:P6V2 —>§18
P52   >> -   (21.5, 51.0)    IN:  909     1:SIGN604 —>§52
P111  -  ^   (21.0, 32.0)    IN:  812     1:SIGN673 —>§111
P115  >> -   (21.5, 24.0)    IN:  882     1:SIGN677 —>§115
P114  -  vv  (21.5, 26.0)    IN:  884     1:SIGN676 —>§114
P116  -  -   (21.0, 24.0)    IN:  804     1:SIGN678 —>§116
P31   >> -   (21.5, 30.0)    IN:  888     1:SIGN569 —>§31
P30   >  -   (21.0, 27.0)    IN:  807     1:SIGN568 —>§30
P153  << ^^  (21.5, 74.0)    IN:  932     1:SIGN595 —>§153
P154  -  vv  (21.5, 74.0)    IN:  932     1:SIGN595 —>§153
P41   >> ^^  (21.5, 54.0)    IN:  912     1:SIGN583 —>§41
P12   >  vv  (21.0, 65.0)    IN:  845     1:FP_3 —>§12
P8    -  ^^  (17.0, 61.0)    IN:50139     1:BP_HALTEN —>§8
P105  -  v   (16.0, 51.0)    IN:  285     1:SIGN663 —>§105
P106  -  ^^  (17.5, 49.0)    IN:  361     1:SIGN664 —>§106
P129  -  -   (16.5, 48.0)    IN:50048     1:SIGN694 —>§129
P125  >  -   (16.0, 46.0)    IN:  280     1:SIGN690 —>§125
P133  -  v   (17.5, 44.0)    IN:  356     1:SIGN699 —>§133
P117  >  -   (16.0, 37.0)    IN:  271     1:SIGN679 —>§117
P25   >  ^^  (21.0, 21.0)    IN:  801     1:SIGN558 —>§25
P27   >  -   (21.5, 21.0)    IN:  879     1:SIGN564 —>§27
P29   -  vv  (21.5, 12.0)    IN:  870     1:SIGN566 —>§29
P32   >> ^   (21.5, 27.0)    IN:  885     1:SIGN571 —>§32
P45   >> ^   (21.5, 11.0)    IN:  869     1:SIGN589 —>§45
P46   -  -   (21.0, 10.0)    IN:  790     1:SIGN590 —>§46
P42   -  vv  (20.5,  1.0)    IN:  703     1:SIGN585 —>§42
P39   << ^^  (21.0, 73.0)    IN:  853     1:SIGN581 —>§39
P40   -  -   (21.0, 71.0)    IN:  851     1:SIGN582 —>§40
P124  -  ^   (16.0, 61.0)    IN:  295     1:SIGN687 —>§124
P168  -  ^   (18.0, 62.0)    IN:  452     1:P3V3 —>§166
P177  -  vv  (13.0, 49.0)    IN:   49     1:M —>§178
P146  -  ^   (17.0, 62.0)    IN:50140     1:ZOSC —>§146
P112  -  vv  (21.0, 52.0)    IN:  832     1:SIGN674 —>§112
P109  -  -   (16.5, 52.0)    IN:50052     1:SIGN668 —>§109
P11   -  ^   (16.5, 61.0)    IN:50061     1:FP3 —>§11
P10   -  v   (19.0, 51.0)    IN:  519     1:FP1 —>§10
P3    -  ^   (****, ****)    IN:   **     1:ZOSC
P118  -  v   (18.0, 59.0)    IN:  449     1:SIGN680 —>§118
P131  -  -   (16.0, 48.0)    IN:  282     1:SIGN696 —>§131
P107  -  -   (21.0, 51.0)    IN:  831     1:SIGN666 —>§107
