1893_1896

jehla  H  V  první pin       vst. SIG     UZEL
----- ------ ------------    --------     -------------------
P7    >> ^^  (19.5, 57.0)    IN:  603     1:BP_HALTEN —>§1
P101  -  -   (17.0, 58.0)    IN:  448     1:SIGN986 —>§95
P127  -  -   (20.0, 72.0)    IN:  696     1:P3V3 —>§121
P98   -  -   (21.5, 52.0)    IN:  910     1:SIGN983 —>§92
P74   -  vv  (21.0, 65.0)    IN:  845     1:SIGN954 —>§68
P128  -  ^^  (20.0, 73.0)    IN:  697     1:P3V3 —>§122
P63   -  vv  (17.5, 57.0)    IN:50057     1:SIGN943 —>§57
P96   -  ^^  (17.0, 61.0)    IN:  451     1:SIGN979 —>§90
P70   -  vv  (21.5, 64.0)    IN:  922     1:SIGN950 —>§64
P61   -  ^   (21.5, 62.0)    IN:  920     1:SIGN941 —>§55
P86   -  -   (21.5, 58.0)    IN:  916     1:SIGN966 —>§80
P50   -  ^^  (20.0, 77.0)    IN:  701     1:SIGN930 —>§44
P21   -  vv  (20.5, 73.0)    IN:  775     1:P1V65 —>§15
P19   -  v   (21.0, 61.0)    IN:  841     1:L_3 —>§13
P57   -  ^   (21.5, 56.0)    IN:  914     1:SIGN937 —>§51
P23   -  ^   (20.0, 74.0)    IN:  698     1:P12Z —>§17
P56   -  vv  (21.0, 57.0)    IN:  837     1:SIGN936 —>§50
P82   -  ^   (20.5, 75.0)    IN:  777     1:SIGN962 —>§76
P115  -  vv  (21.5, 61.0)    IN:  919     1:T_3 —>§109
P16   -  ^^  (21.5, 54.0)    IN:  912     1:FP_3 —>§10
P27   -  -   (21.0, 64.0)    IN:  844     1:SIGN903 —>§21
P118  -  -   (16.5, 56.0)    IN:  368     1:THY_L1_SPGNULL —>§112
P58   -  v   (20.0, 76.0)    IN:  700     1:SIGN938 —>§52
P84   -  vv  (21.0, 63.0)    IN:  843     1:SIGN964 —>§78
P18   -  v   (20.5, 76.0)    IN:  778     1:L_1 —>§12
P114  -  -   (20.5, 78.0)    IN:  780     1:T_1 —>§108
P73   -  ^^  (20.0, 78.0)    IN:  702     1:SIGN953 —>§67
P79   -  -   (20.5, 77.0)    IN:  779     1:SIGN959 —>§73
P77   -  v   (21.0, 62.0)    IN:  842     1:SIGN957 —>§71
P51   -  ^^  (21.5, 53.0)    IN:  911     1:SIGN931 —>§45
