x-axis,1,2,3
second,Volt,Volt,Volt
-2.520000E-03,,,
-2.515000E-03,+93.844286E-03,+3.167336715E+00,+2.142211098E+00
-2.510000E-03,+95.100567E-03,+3.147236213E+00,+2.145351802E+00
-2.505000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.500000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.495000E-03,+91.959864E-03,+3.149120635E+00,+2.144095520E+00
-2.490000E-03,+91.959864E-03,+3.164196012E+00,+2.162311601E+00
-2.485000E-03,+91.959864E-03,+3.159170886E+00,+2.150376927E+00
-2.480000E-03,+98.869412E-03,+3.167336715E+00,+2.162311601E+00
-2.475000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.470000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.465000E-03,+91.959864E-03,+3.167336715E+00,+2.154145771E+00
-2.460000E-03,+91.959864E-03,+3.160427168E+00,+2.149120646E+00
-2.455000E-03,+91.959864E-03,+3.167336715E+00,+2.144095520E+00
-2.450000E-03,+91.959864E-03,+3.167336715E+00,+2.159170897E+00
-2.445000E-03,+91.959864E-03,+3.167336715E+00,+2.150376927E+00
-2.440000E-03,+91.959864E-03,+3.154145761E+00,+2.149120646E+00
-2.435000E-03,+91.959864E-03,+3.165452293E+00,+2.180527681E+00
-2.430000E-03,+108.919663E-03,+3.167336715E+00,+2.145351802E+00
-2.425000E-03,+91.959864E-03,+3.167336715E+00,+2.150376927E+00
-2.420000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.415000E-03,+91.959864E-03,+3.167336715E+00,+2.160427178E+00
-2.410000E-03,+91.959864E-03,+3.167336715E+00,+2.159170897E+00
-2.405000E-03,+80.025191E-03,+3.167336715E+00,+2.150376927E+00
-2.400000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.395000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.390000E-03,+88.819160E-03,+3.167336715E+00,+2.162311601E+00
-2.385000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.380000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.375000E-03,+90.075442E-03,+3.167336715E+00,+2.162311601E+00
-2.370000E-03,+91.959864E-03,+3.150376917E+00,+2.162311601E+00
-2.365000E-03,+91.959864E-03,+3.147236213E+00,+2.154145771E+00
-2.360000E-03,+91.959864E-03,+3.167336715E+00,+2.155402053E+00
-2.355000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.350000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.345000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.340000E-03,+105.150819E-03,+3.167336715E+00,+2.149120646E+00
-2.335000E-03,+91.959864E-03,+3.165452293E+00,+2.142211098E+00
-2.330000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.325000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.320000E-03,+91.959864E-03,+3.167336715E+00,+2.155402053E+00
-2.315000E-03,+91.959864E-03,+3.169221137E+00,+2.160427178E+00
-2.310000E-03,+91.959864E-03,+3.164196012E+00,+2.142211098E+00
-2.305000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.300000E-03,+91.959864E-03,+3.167336715E+00,+2.155402053E+00
-2.295000E-03,+91.959864E-03,+3.167336715E+00,+2.160427178E+00
-2.290000E-03,+108.919663E-03,+3.150376917E+00,+2.142211098E+00
-2.285000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.280000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.275000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.270000E-03,+91.959864E-03,+3.167336715E+00,+2.145351802E+00
-2.265000E-03,+91.959864E-03,+3.155402042E+00,+2.162311601E+00
-2.260000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.255000E-03,+91.959864E-03,+3.167336715E+00,+2.144095520E+00
-2.250000E-03,+91.959864E-03,+3.167336715E+00,+2.159170897E+00
-2.245000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.240000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.235000E-03,+91.959864E-03,+3.167336715E+00,+2.160427178E+00
-2.230000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.225000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.220000E-03,+105.150819E-03,+3.167336715E+00,+2.149120646E+00
-2.215000E-03,+91.959864E-03,+3.167336715E+00,+2.144095520E+00
-2.210000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.205000E-03,+91.959864E-03,+3.159170886E+00,+2.145979942E+00
-2.200000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.195000E-03,+93.844286E-03,+3.167336715E+00,+2.125879440E+00
-2.190000E-03,+95.100567E-03,+3.167336715E+00,+2.145351802E+00
-2.185000E-03,+91.959864E-03,+3.147236213E+00,+2.134045269E+00
-2.180000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.175000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.170000E-03,+75.000065E-03,+3.150376917E+00,+2.145351802E+00
-2.165000E-03,+91.959864E-03,+3.155402042E+00,+2.130276425E+00
-2.160000E-03,+91.959864E-03,+3.167336715E+00,+2.148492505E+00
-2.155000E-03,+91.959864E-03,+3.167336715E+00,+2.160427178E+00
-2.150000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.145000E-03,+91.959864E-03,+3.155402042E+00,+2.142211098E+00
-2.140000E-03,+91.959864E-03,+3.154145761E+00,+2.155402053E+00
-2.135000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.130000E-03,+91.959864E-03,+3.167336715E+00,+2.159170897E+00
-2.125000E-03,+91.959864E-03,+3.167336715E+00,+2.154145771E+00
-2.120000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-2.115000E-03,+91.959864E-03,+3.149120635E+00,+2.144095520E+00
-2.110000E-03,+91.959864E-03,+3.150376917E+00,+2.145351802E+00
-2.105000E-03,+91.959864E-03,+3.167336715E+00,+2.150376927E+00
-2.100000E-03,+91.959864E-03,+3.167336715E+00,+2.175502555E+00
-2.095000E-03,+91.959864E-03,+3.167336715E+00,+2.160427178E+00
-2.090000E-03,+95.100567E-03,+3.167336715E+00,+2.162311601E+00
-2.085000E-03,+91.959864E-03,+3.167336715E+00,+2.150376927E+00
-2.080000E-03,+91.959864E-03,+3.154145761E+00,+2.155402053E+00
-2.075000E-03,+91.959864E-03,+3.169221137E+00,+2.144095520E+00
-2.070000E-03,+91.959864E-03,+3.150376917E+00,+2.159170897E+00
-2.065000E-03,+91.959864E-03,+3.167336715E+00,+2.154145771E+00
-2.060000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.055000E-03,+91.959864E-03,+3.167336715E+00,+2.144095520E+00
-2.050000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.045000E-03,+91.959864E-03,+3.167336715E+00,+2.154145771E+00
-2.040000E-03,+91.959864E-03,+3.160427168E+00,+2.142211098E+00
-2.035000E-03,+110.175944E-03,+3.185552796E+00,+2.144095520E+00
-2.030000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.025000E-03,+91.959864E-03,+3.175502544E+00,+2.134045269E+00
-2.020000E-03,+91.959864E-03,+3.167336715E+00,+2.149120646E+00
-2.015000E-03,+110.175944E-03,+3.167336715E+00,+2.160427178E+00
-2.010000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.005000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-2.000000E-03,+91.959864E-03,+3.160427168E+00,+2.155402053E+00
-1.995000E-03,+73.743784E-03,+3.167336715E+00,+2.142211098E+00
-1.990000E-03,+91.959864E-03,+3.170477419E+00,+2.142211098E+00
-1.985000E-03,+91.959864E-03,+3.167336715E+00,+2.150376927E+00
-1.980000E-03,+91.959864E-03,+3.154145761E+00,+2.149120646E+00
-1.975000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.970000E-03,+95.100567E-03,+3.167336715E+00,+2.125251299E+00
-1.965000E-03,+103.894537E-03,+3.159170886E+00,+2.154145771E+00
-1.960000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.955000E-03,+91.959864E-03,+3.149120635E+00,+2.142211098E+00
-1.950000E-03,+91.959864E-03,+3.167336715E+00,+2.139070395E+00
-1.945000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.940000E-03,+91.959864E-03,+3.167336715E+00,+2.155402053E+00
-1.935000E-03,+91.959864E-03,+3.149120635E+00,+2.144095520E+00
-1.930000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.925000E-03,+91.959864E-03,+3.175502544E+00,+2.154145771E+00
-1.920000E-03,+91.959864E-03,+3.154145761E+00,+2.162311601E+00
-1.915000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.910000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.905000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.900000E-03,+91.959864E-03,+3.154145761E+00,+2.142211098E+00
-1.895000E-03,+91.959864E-03,+3.167336715E+00,+2.160427178E+00
-1.890000E-03,+91.959864E-03,+3.167336715E+00,+2.145351802E+00
-1.885000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.880000E-03,+85.678457E-03,+3.167336715E+00,+2.149120646E+00
-1.875000E-03,+91.959864E-03,+3.167336715E+00,+2.144095520E+00
-1.870000E-03,+91.959864E-03,+3.167336715E+00,+2.176130696E+00
-1.865000E-03,+103.894537E-03,+3.159170886E+00,+2.154145771E+00
-1.860000E-03,+91.959864E-03,+3.160427168E+00,+2.149120646E+00
-1.855000E-03,+91.959864E-03,+3.149120635E+00,+2.162311601E+00
-1.850000E-03,+91.959864E-03,+3.167336715E+00,+2.145351802E+00
-1.845000E-03,+91.959864E-03,+3.159170886E+00,+2.162311601E+00
-1.840000E-03,+91.959864E-03,+3.154145761E+00,+2.142211098E+00
-1.835000E-03,+110.175944E-03,+3.165452293E+00,+2.160427178E+00
-1.830000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.825000E-03,+91.959864E-03,+3.167336715E+00,+2.130276425E+00
-1.820000E-03,+91.959864E-03,+3.147236213E+00,+2.175502555E+00
-1.815000E-03,+91.959864E-03,+3.149120635E+00,+2.160427178E+00
-1.810000E-03,+91.959864E-03,+3.164196012E+00,+2.145351802E+00
-1.805000E-03,+103.894537E-03,+3.167336715E+00,+2.154145771E+00
-1.800000E-03,+91.959864E-03,+3.167336715E+00,+2.149120646E+00
-1.795000E-03,+91.959864E-03,+3.147236213E+00,+2.144095520E+00
-1.790000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.785000E-03,+91.959864E-03,+3.167336715E+00,+2.154145771E+00
-1.780000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.775000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.770000E-03,+91.959864E-03,+3.164196012E+00,+2.159170897E+00
-1.765000E-03,+91.959864E-03,+3.167336715E+00,+2.145979942E+00
-1.760000E-03,+91.959864E-03,+3.167336715E+00,+2.155402053E+00
-1.755000E-03,+91.959864E-03,+3.165452293E+00,+2.123995018E+00
-1.750000E-03,+75.000065E-03,+3.150376917E+00,+2.142211098E+00
-1.745000E-03,+91.959864E-03,+3.167336715E+00,+2.150376927E+00
-1.740000E-03,+98.869412E-03,+3.167336715E+00,+2.155402053E+00
-1.735000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.730000E-03,+91.959864E-03,+3.167336715E+00,+2.145351802E+00
-1.725000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.720000E-03,+98.869412E-03,+3.154145761E+00,+2.149120646E+00
-1.715000E-03,+91.959864E-03,+3.149120635E+00,+2.142211098E+00
-1.710000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.705000E-03,+91.959864E-03,+3.179271389E+00,+2.154145771E+00
-1.700000E-03,+91.959864E-03,+3.167336715E+00,+2.149120646E+00
-1.695000E-03,+91.959864E-03,+3.183668373E+00,+2.144095520E+00
-1.690000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.685000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.680000E-03,+91.959864E-03,+3.160427168E+00,+2.149120646E+00
-1.675000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.670000E-03,+91.959864E-03,+3.167336715E+00,+2.145351802E+00
-1.665000E-03,+103.894537E-03,+3.167336715E+00,+2.154145771E+00
-1.660000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.655000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.650000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.645000E-03,+91.959864E-03,+3.159170886E+00,+2.154145771E+00
-1.640000E-03,+91.959864E-03,+3.167336715E+00,+2.149120646E+00
-1.635000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.630000E-03,+91.959864E-03,+3.150376917E+00,+2.159170897E+00
-1.625000E-03,+91.959864E-03,+3.159170886E+00,+2.142211098E+00
-1.620000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.615000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.610000E-03,+91.959864E-03,+3.150376917E+00,+2.142211098E+00
-1.605000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.600000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.595000E-03,+91.959864E-03,+3.167336715E+00,+2.160427178E+00
-1.590000E-03,+91.959864E-03,+3.167336715E+00,+2.145351802E+00
-1.585000E-03,+91.959864E-03,+3.167336715E+00,+2.150376927E+00
-1.580000E-03,+91.959864E-03,+3.167336715E+00,+2.142211098E+00
-1.575000E-03,+91.959864E-03,+3.167336715E+00,+2.144095520E+00
-1.570000E-03,+91.959864E-03,+3.167336715E+00,+2.145351802E+00
-1.565000E-03,+91.959864E-03,+3.167336715E+00,+2.162311601E+00
-1.560000E-03,+78.768909E-03,+3.154145761E+00,+2.155402053E+00
-1.555000E-03,+110.175944E-03,+3.165452293E+00,+2.142211098E+00
