x-axis,1,2,3
second,Volt,Volt,Volt
-34.0000E-03,,,
-33.7000E-03,+112.0604E-03,+3.1874372E+00,+1.7011055E+00
-33.4000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-33.1000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-32.8000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-32.5000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-32.2000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-31.9000E-03,+112.0604E-03,+3.1874372E+00,+1.7011055E+00
-31.6000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-31.3000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-31.0000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-30.7000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-30.4000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-30.1000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-29.8000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-29.5000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-29.2000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-28.9000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-28.6000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-28.3000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-28.0000E-03,+91.9599E-03,+3.2075377E+00,+1.7011055E+00
-27.7000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-27.4000E-03,+112.0604E-03,+3.1673367E+00,+1.7011055E+00
-27.1000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-26.8000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-26.5000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-26.2000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-25.9000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-25.6000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-25.3000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-25.0000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-24.7000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-24.4000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-24.1000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-23.8000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-23.5000E-03,+112.0604E-03,+3.1874372E+00,+1.7011055E+00
-23.2000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-22.9000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-22.6000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-22.3000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-22.0000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-21.7000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-21.4000E-03,+112.0604E-03,+3.1673367E+00,+1.7011055E+00
-21.1000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-20.8000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-20.5000E-03,+112.0604E-03,+3.1874372E+00,+1.7011055E+00
-20.2000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-19.9000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-19.6000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-19.3000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-19.0000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-18.7000E-03,+112.0604E-03,+3.1673367E+00,+1.7011055E+00
-18.4000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-18.1000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-17.8000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-17.5000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-17.2000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-16.9000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-16.6000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-16.3000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-16.0000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-15.7000E-03,+112.0604E-03,+3.1874372E+00,+1.7011055E+00
-15.4000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-15.1000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-14.8000E-03,+112.0604E-03,+3.1673367E+00,+1.7011055E+00
-14.5000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-14.2000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-13.9000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-13.6000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-13.3000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-13.0000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-12.7000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-12.4000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-12.1000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-11.8000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-11.5000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-11.2000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-10.9000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-10.6000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-10.3000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-10.0000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-9.7000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-9.4000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-9.1000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-8.8000E-03,+112.0604E-03,+3.1673367E+00,+1.7011055E+00
-8.5000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-8.2000E-03,+112.0604E-03,+3.1673367E+00,+1.7011055E+00
-7.9000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-7.6000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-7.3000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-7.0000E-03,+71.8594E-03,+3.1874372E+00,+1.7011055E+00
-6.7000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
-6.4000E-03,+91.9599E-03,+3.1874372E+00,+1.7011055E+00
-6.1000E-03,+91.9599E-03,+3.1673367E+00,+1.7011055E+00
