Product,GWInstek,GDM9061,GEW921489,1.12,1.14
FileName,DMM DataLog-DMM DataLog-PIN1.csv_0.csv
Function(1ST),DC Voltage,100/s
Function(2ND),OFF,NONE
LogUnit,Auto
MathFunction,Off
Interval,00:00:00.032
Software,V1.06,20200921,Win 10 64bit 
==========
Index,Time,1ST Value,Unit1,2ND Value,Unit2
1,2023/05/04 00:38:45.0,+03.00359,VDC,--------,---
2,2023/05/04 00:38:45.1,+03.00359,VDC,--------,---
3,2023/05/04 00:38:45.1,+03.00357,VDC,--------,---
4,2023/05/04 00:38:45.2,+03.00357,VDC,--------,---
5,2023/05/04 00:38:45.2,+03.00357,VDC,--------,---
6,2023/05/04 00:38:45.2,+03.00356,VDC,--------,---
7,2023/05/04 00:38:45.3,+03.00356,VDC,--------,---
8,2023/05/04 00:38:45.3,+03.00355,VDC,--------,---
9,2023/05/04 00:38:45.3,+03.00358,VDC,--------,---
10,2023/05/04 00:38:45.3,+03.00359,VDC,--------,---
11,2023/05/04 00:38:45.4,+03.00360,VDC,--------,---
12,2023/05/04 00:38:45.4,+03.00362,VDC,--------,---
13,2023/05/04 00:38:45.4,+03.00364,VDC,--------,---
14,2023/05/04 00:38:45.5,+03.00366,VDC,--------,---
15,2023/05/04 00:38:45.5,+03.00368,VDC,--------,---
16,2023/05/04 00:38:45.5,+03.00369,VDC,--------,---
17,2023/05/04 00:38:45.6,+03.00371,VDC,--------,---
18,2023/05/04 00:38:45.6,+03.00373,VDC,--------,---
19,2023/05/04 00:38:45.6,+03.00373,VDC,--------,---
20,2023/05/04 00:38:45.7,+03.00372,VDC,--------,---
21,2023/05/04 00:38:45.7,+03.00371,VDC,--------,---
22,2023/05/04 00:38:45.7,+03.00371,VDC,--------,---
23,2023/05/04 00:38:45.8,+03.00369,VDC,--------,---
24,2023/05/04 00:38:45.8,+03.00369,VDC,--------,---
25,2023/05/04 00:38:45.8,+03.00371,VDC,--------,---
26,2023/05/04 00:38:45.9,+03.00372,VDC,--------,---
27,2023/05/04 00:38:45.9,+03.00373,VDC,--------,---
28,2023/05/04 00:38:45.9,+03.00372,VDC,--------,---
29,2023/05/04 00:38:46.0,+03.00372,VDC,--------,---
30,2023/05/04 00:38:46.0,+03.00372,VDC,--------,---
31,2023/05/04 00:38:46.0,+03.00373,VDC,--------,---
32,2023/05/04 00:38:46.1,+03.00373,VDC,--------,---
33,2023/05/04 00:38:46.1,+03.00374,VDC,--------,---
34,2023/05/04 00:38:46.1,+03.00373,VDC,--------,---
35,2023/05/04 00:38:46.1,+03.00373,VDC,--------,---
36,2023/05/04 00:38:46.2,+03.00373,VDC,--------,---
37,2023/05/04 00:38:46.2,+03.00371,VDC,--------,---
38,2023/05/04 00:38:46.2,+03.00371,VDC,--------,---
39,2023/05/04 00:38:46.3,+03.00371,VDC,--------,---
40,2023/05/04 00:38:46.3,+03.00371,VDC,--------,---
41,2023/05/04 00:38:46.3,+03.00372,VDC,--------,---
42,2023/05/04 00:38:46.4,+03.00372,VDC,--------,---
43,2023/05/04 00:38:46.4,+03.00373,VDC,--------,---
44,2023/05/04 00:38:46.4,+03.00373,VDC,--------,---
45,2023/05/04 00:38:46.5,+03.00372,VDC,--------,---
46,2023/05/04 00:38:46.5,+03.00371,VDC,--------,---
47,2023/05/04 00:38:46.5,+03.00371,VDC,--------,---
48,2023/05/04 00:38:46.6,+03.00372,VDC,--------,---
49,2023/05/04 00:38:46.6,+03.00373,VDC,--------,---
50,2023/05/04 00:38:46.6,+03.00374,VDC,--------,---
51,2023/05/04 00:38:46.7,+03.00375,VDC,--------,---
52,2023/05/04 00:38:46.7,+03.00375,VDC,--------,---
53,2023/05/04 00:38:46.7,+03.00375,VDC,--------,---
54,2023/05/04 00:38:46.8,+03.00373,VDC,--------,---
55,2023/05/04 00:38:46.8,+03.00374,VDC,--------,---
56,2023/05/04 00:38:46.8,+03.00373,VDC,--------,---
57,2023/05/04 00:38:46.9,+03.00375,VDC,--------,---
58,2023/05/04 00:38:46.9,+03.00375,VDC,--------,---
59,2023/05/04 00:38:46.9,+03.00373,VDC,--------,---
60,2023/05/04 00:38:46.9,+03.00373,VDC,--------,---
61,2023/05/04 00:38:47.0,+03.00372,VDC,--------,---
62,2023/05/04 00:38:47.0,+03.00373,VDC,--------,---
63,2023/05/04 00:38:47.0,+03.00373,VDC,--------,---
64,2023/05/04 00:38:47.1,+03.00373,VDC,--------,---
65,2023/05/04 00:38:47.1,+03.00373,VDC,--------,---
66,2023/05/04 00:38:47.1,+03.00373,VDC,--------,---
67,2023/05/04 00:38:47.2,+03.00372,VDC,--------,---
68,2023/05/04 00:38:47.2,+03.00372,VDC,--------,---
69,2023/05/04 00:38:47.2,+03.00371,VDC,--------,---
70,2023/05/04 00:38:47.3,+03.00370,VDC,--------,---
71,2023/05/04 00:38:47.3,+03.00370,VDC,--------,---
72,2023/05/04 00:38:47.3,+03.00371,VDC,--------,---
73,2023/05/04 00:38:47.4,+03.00372,VDC,--------,---
74,2023/05/04 00:38:47.4,+03.00373,VDC,--------,---
