Product,GWInstek,GDM9061,GEW921489,1.12,1.14
FileName,DMM DataLog-DMM DataLog-PIN4.csv.csv_0.csv
Function(1ST),DC Voltage,100/s
Function(2ND),OFF,NONE
LogUnit,Auto
MathFunction,Off
Interval,00:00:00.032
Software,V1.06,20200921,Win 10 64bit 
==========
Index,Time,1ST Value,Unit1,2ND Value,Unit2
1,2023/05/04 00:32:42.2,+02.15089,VDC,--------,---
2,2023/05/04 00:32:42.2,+02.15090,VDC,--------,---
3,2023/05/04 00:32:42.2,+02.15093,VDC,--------,---
4,2023/05/04 00:32:42.3,+02.15093,VDC,--------,---
5,2023/05/04 00:32:42.3,+02.15090,VDC,--------,---
6,2023/05/04 00:32:42.3,+02.15091,VDC,--------,---
7,2023/05/04 00:32:42.4,+02.15088,VDC,--------,---
8,2023/05/04 00:32:42.4,+02.15088,VDC,--------,---
9,2023/05/04 00:32:42.4,+02.15089,VDC,--------,---
10,2023/05/04 00:32:42.5,+02.15089,VDC,--------,---
11,2023/05/04 00:32:42.5,+02.15089,VDC,--------,---
12,2023/05/04 00:32:42.5,+02.15089,VDC,--------,---
13,2023/05/04 00:32:42.6,+02.15089,VDC,--------,---
14,2023/05/04 00:32:42.6,+02.15089,VDC,--------,---
15,2023/05/04 00:32:42.6,+02.15089,VDC,--------,---
16,2023/05/04 00:32:42.7,+02.15088,VDC,--------,---
17,2023/05/04 00:32:42.7,+02.15088,VDC,--------,---
18,2023/05/04 00:32:42.7,+02.15088,VDC,--------,---
19,2023/05/04 00:32:42.7,+02.15087,VDC,--------,---
20,2023/05/04 00:32:42.8,+02.15087,VDC,--------,---
21,2023/05/04 00:32:42.8,+02.15088,VDC,--------,---
22,2023/05/04 00:32:42.8,+02.15087,VDC,--------,---
23,2023/05/04 00:32:42.9,+02.15087,VDC,--------,---
24,2023/05/04 00:32:42.9,+02.15087,VDC,--------,---
25,2023/05/04 00:32:42.9,+02.15087,VDC,--------,---
26,2023/05/04 00:32:43.0,+02.15088,VDC,--------,---
27,2023/05/04 00:32:43.0,+02.15088,VDC,--------,---
28,2023/05/04 00:32:43.0,+02.15088,VDC,--------,---
29,2023/05/04 00:32:43.1,+02.15090,VDC,--------,---
30,2023/05/04 00:32:43.1,+02.15089,VDC,--------,---
31,2023/05/04 00:32:43.1,+02.15089,VDC,--------,---
32,2023/05/04 00:32:43.2,+02.15089,VDC,--------,---
33,2023/05/04 00:32:43.2,+02.15090,VDC,--------,---
34,2023/05/04 00:32:43.2,+02.15089,VDC,--------,---
35,2023/05/04 00:32:43.3,+02.15090,VDC,--------,---
36,2023/05/04 00:32:43.3,+02.15090,VDC,--------,---
37,2023/05/04 00:32:43.3,+02.15089,VDC,--------,---
38,2023/05/04 00:32:43.4,+02.15089,VDC,--------,---
39,2023/05/04 00:32:43.4,+02.15088,VDC,--------,---
40,2023/05/04 00:32:43.4,+02.15088,VDC,--------,---
41,2023/05/04 00:32:43.5,+02.15087,VDC,--------,---
