Product,GWInstek,GDM9061,GEW921489,1.12,1.14
FileName,DMM DataLog-DMM DataLog-PIN7.csv_0.csv
Function(1ST),DC Voltage,100/s
Function(2ND),OFF,NONE
LogUnit,Auto
MathFunction,Off
Interval,00:00:00.032
Software,V1.06,20200921,Win 10 64bit 
==========
Index,Time,1ST Value,Unit1,2ND Value,Unit2
1,2023/05/04 00:40:42.0,+013.5096,mVDC,--------,---
2,2023/05/04 00:40:42.1,+013.4565,mVDC,--------,---
3,2023/05/04 00:40:42.1,+013.5292,mVDC,--------,---
4,2023/05/04 00:40:42.1,+013.4872,mVDC,--------,---
5,2023/05/04 00:40:42.2,+013.4863,mVDC,--------,---
6,2023/05/04 00:40:42.2,+013.5412,mVDC,--------,---
7,2023/05/04 00:40:42.2,+013.4724,mVDC,--------,---
8,2023/05/04 00:40:42.3,+013.5255,mVDC,--------,---
9,2023/05/04 00:40:42.3,+013.5248,mVDC,--------,---
10,2023/05/04 00:40:42.3,+013.4611,mVDC,--------,---
11,2023/05/04 00:40:42.4,+013.5107,mVDC,--------,---
12,2023/05/04 00:40:42.4,+013.4531,mVDC,--------,---
13,2023/05/04 00:40:42.4,+013.5168,mVDC,--------,---
14,2023/05/04 00:40:42.5,+013.5172,mVDC,--------,---
15,2023/05/04 00:40:42.5,+013.4802,mVDC,--------,---
16,2023/05/04 00:40:42.5,+013.5452,mVDC,--------,---
17,2023/05/04 00:40:42.5,+013.4685,mVDC,--------,---
18,2023/05/04 00:40:42.6,+013.5156,mVDC,--------,---
19,2023/05/04 00:40:42.6,+013.5150,mVDC,--------,---
20,2023/05/04 00:40:42.6,+013.4573,mVDC,--------,---
21,2023/05/04 00:40:42.7,+013.5154,mVDC,--------,---
22,2023/05/04 00:40:42.7,+013.4469,mVDC,--------,---
23,2023/05/04 00:40:42.7,+013.5163,mVDC,--------,---
24,2023/05/04 00:40:42.8,+013.5163,mVDC,--------,---
25,2023/05/04 00:40:42.8,+013.4759,mVDC,--------,---
26,2023/05/04 00:40:42.8,+013.5455,mVDC,--------,---
27,2023/05/04 00:40:42.9,+013.4642,mVDC,--------,---
28,2023/05/04 00:40:42.9,+013.5228,mVDC,--------,---
29,2023/05/04 00:40:42.9,+013.5223,mVDC,--------,---
30,2023/05/04 00:40:43.0,+013.4508,mVDC,--------,---
31,2023/05/04 00:40:43.0,+013.5187,mVDC,--------,---
32,2023/05/04 00:40:43.0,+013.4502,mVDC,--------,---
33,2023/05/04 00:40:43.1,+013.5170,mVDC,--------,---
34,2023/05/04 00:40:43.1,+013.5177,mVDC,--------,---
35,2023/05/04 00:40:43.1,+013.4782,mVDC,--------,---
36,2023/05/04 00:40:43.2,+013.5498,mVDC,--------,---
37,2023/05/04 00:40:43.2,+013.4622,mVDC,--------,---
38,2023/05/04 00:40:43.2,+013.5147,mVDC,--------,---
39,2023/05/04 00:40:43.2,+013.5144,mVDC,--------,---
40,2023/05/04 00:40:43.3,+013.4560,mVDC,--------,---
41,2023/05/04 00:40:43.3,+013.5174,mVDC,--------,---
42,2023/05/04 00:40:43.3,+013.4449,mVDC,--------,---
43,2023/05/04 00:40:43.4,+013.5174,mVDC,--------,---
44,2023/05/04 00:40:43.4,+013.5175,mVDC,--------,---
45,2023/05/04 00:40:43.4,+013.4758,mVDC,--------,---
46,2023/05/04 00:40:43.5,+013.5481,mVDC,--------,---
47,2023/05/04 00:40:43.5,+013.4651,mVDC,--------,---
48,2023/05/04 00:40:43.5,+013.5176,mVDC,--------,---
49,2023/05/04 00:40:43.6,+013.5178,mVDC,--------,---
50,2023/05/04 00:40:43.6,+013.4557,mVDC,--------,---
